Codigo,Fecha,Solidos Suspendidos,Sólidos Disueltos,Sólidos Sedimentables,Solidos Totales,Alcalinidad,Coliformes Totales,Coliformes Fecales,Dureza Total,Cloruros,Conductividad,DBO,DQO,Fosfatos,Ortofosfatos,GYA,Nitritos,Nitratos,Sulfatos,Turbidez,pH,OD,Temperatura,Silice
-,-,mg/L,mg/L,mg/L,mg/L,mg/L CaCO3,UFC/mL,UFC/mL,mg/L CaCO3,mg/L,µmhos/cm,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,UNT,[H+],mg/L,°C,1
RIO115,02/10/2007,96,,,262,87,50000,14000,,13,233,1.05,18.8,0.126,,2.5,0.0096,0.6,14.2,115,7.9,7.55,25.8,1
RIO103,17/10/2007,X,,,562,X,X,X,,22.4,327,X,X,0.38,,X,X,0.8,28.5,214,7.4,7.9,27,1
RIO107,17/10/2007,X,,,706,X,50000,2600,,23.7,370,2.88,28.4,0.283,,X,X,0.8,37.7,309,8.1,6.55,27.5,1
RIO109,17/10/2007,X,,,722,X,50000,17000,,25.1,375,1.6,28.9,0.29,,X,X,0.8,48.4,350,8,6.51,27.7,1
RIO111,17/10/2007,X,,,412,X,50000,1700,,14.4,272,0.74,21.7,0.438,,X,X,0.6,20.3,135,7,7.5,25.9,1
RIO115,17/10/2007,X,,,506,X,50000,2600,,14.4,317,1.08,21.1,0.365,,X,X,0.7,25.5,195,7.6,7.4,26.3,1
RIO102,01/11/2007,524,,,678,79,160000,22000,,7.1,185,1.8,28.5,0.095,,1.5,0,0.7,9,468,7.2,7.1,25,1
RIO103,01/11/2007,523,,,676,83,X,X,,7.2,198,X,X,0.168,,1.9,0,0.7,9.2,469,7.3,7.1,25.3,1
RIO106,01/11/2007,667,,,802,83,X,X,,7.2,198,X,X,0.168,,1.82,0,0.7,9.2,469,7.1,7,25.3,1
RIO107,01/11/2007,243,,,418,85,3000,1100,,8.7,239,1,8.2,0.143,,1.36,0.008,0.9,15.6,345,7.4,6.9,25.8,1
RIO109,01/11/2007,705,,,842,88,50000,400,,11.4,254,1.9,18.8,0.111,,2.17,0.0065,0.9,25.3,611,7.6,7,25.3,1
RIO111,01/11/2007,224,,,800,63,160000,35000,,6.9,161,2.1,30.1,0.12,,1.36,0.0011,0.6,7.9,616,7.4,7.4,26.2,1
RIO112,01/11/2007,501,,,840,65,X,X,,7,166,X,X,0.094,,X,0,0.6,9.5,633,7.7,7.23,26.4,1
RIO113,01/11/2007,456,,,608,59,X,X,,7,163,X,X,0.1,,X,0,0.7,9.6,428,7.6,6.98,26.3,1
RIO114,01/11/2007,471,,,662,79,X,X,,7.1,186,X,X,0.104,,X,0,0.6,10,435,6.9,7.12,25.6,1
RIO116,01/11/2007,43,,,134,30,90000,1400,,4.5,61,1,13.3,0.09,,1.43,0.0028,0.4,1.2,45.8,8.1,8.12,26.5,1
RIO115,01/11/2007,447,,,564,76,50000,3300,,7.1,186,1.4,23.4,0.112,,1.43,0.001,0.6,9.5,398,7.6,7.52,26.7,1
RIO103,16/11/2007,X,,,324,X,X,X,,13,290,X,14.3,0.408,,X,X,0.7,17.5,103,7.4,6.98,27.2,1
RIO109,16/11/2007,X,,,618,X,50000,13000,,24.4,408,0.98,20.2,0.363,,X,X,0.9,43.4,201,7.9,6.6,27.3,1
RIO111,16/11/2007,X,,,250,X,17000,8000,,9.8,244,0.89,9.7,0.303,,X,X,0.7,12.9,50.4,7.3,7.45,26.3,1
RIO115,16/11/2007,X,,,340,X,30000,24000,,11.9,274,1.01,16,0.356,,X,X,0.7,15.4,102,7,7.28,27,1
RIO102,04/12/2007,47,,,264,123,30000,7000,,22,362,0.29,26,0.452,,0.95,0.0011,0.8,27.2,46,7.4,7.4,26.4,1
RIO103,04/12/2007,46,,,254,122,X,X,,23.9,369,X,X,0.331,,0.91,0.0006,0.8,27.4,46.1,7.4,7.17,26.4,1
RIO106,04/12/2007,85,,,332,131,X,X,,27.9,420,X,X,0.333,,1.43,0.0066,0.8,41.3,73.2,7.4,7.12,26.3,1
RIO109,04/12/2007,108,,,474,150,22000,9000,,42.4,595,1.85,19.5,0.324,,1.36,0.0184,1.1,75.5,114,7.6,6.91,27.5,1
RIO111,04/12/2007,150,,,326,102,30000,30000,,16.5,258,2.21,33.5,0.331,,1.82,0.0033,0.5,18.9,152,7.1,7.19,27.1,1
RIO112,04/12/2007,27,,,200,98,X,X,,15,268,X,X,0.32,,X,0.004,0.8,17,29.2,7.1,7.23,26.3,1
RIO113,04/12/2007,34,,,202,97,X,X,,15.9,269,X,X,0.218,,X,0.0039,0.8,17.7,34.6,7,7.11,28,1
RIO114,04/12/2007,40,,,250,122,X,X,,18.8,350,X,X,0.283,,X,0.0004,0.7,17.5,40.6,7,7.34,27.5,1
RIO115,04/12/2007,46,,,264,124,50000,7000,,23,361,1.89,24.5,0.277,,2.27,0.0024,0.8,24.8,41.8,7.1,7.39,25,1
RIO103,13/12/2007,X,,,2228,X,X,X,,22.1,344,X,X,0.337,,X,X,0.7,24.8,766,7,7.42,28.6,1
RIO109,13/12/2007,X,,,1466,X,160000,50000,,42.5,497,4.63,11,0.245,,X,X,1.2,51.9,653,7.7,6.06,26.9,1
RIO111,13/12/2007,X,,,188,X,24000,8000,,18,324,1.41,10.7,0.277,,X,X,0.5,21.2,23.6,7.2,7.41,26,1
RIO115,13/12/2007,X,,,238,X,17000,2700,,22,369,1.5,11.2,0.3,,X,X,0.6,29,44.6,7.7,7.35,27.4,1
RIO116,01/03/2008 ,7,x,x,96,38.4,30000,2200,x,9.2,76,0.5,5.9,,0.166,0.8,0.0052,0.7,x,5.22,8.1 ,8.6,27.6 ,1
RIO111,01/03/2008 ,30,x,x,298,154,7000,2300,x,25.8,431,0.4,9.4,,0.175,1.09,0.0134,0.8,28.8,22.9,7.5 ,7.15,27.6 ,1
RIO112,01/03/2008 ,28.5,x,x,290,171,x,x,x,28.3,455,x,x,,0.342,x,0.0132,0.8,30.3,23.6,7.4 ,7.25,27.6 ,1
RIO113,01/03/2008 ,32.5,x,x,326,168,x,x,x,27.3,475,x,x,,0.325,x,0.0099,0.8,31.3,28.2,7 ,7.14,28.1 ,1
RIO114,01/03/2008 ,36,x,x,330,173,x,x,x,26.8,478,x,x,,0.283,x,0.0128,0.8,33.1,27.2,7.7 ,7.7,27 ,1
RIO115,01/03/2008 ,35,x,x,344,170,13000,1300,x,29.1,477,0.8,11.1,,0.184,1.6 ,0.0072,0.8,33,29.5,7.6 ,7.7,26.7 ,1
RIO102,01/03/2008 ,46,x,x,330,170,24000,3400,x,27.5,470,0.7,11,,0.33,1.14,0.0071,0.9,33.3,33.8,7.7 ,6.79,26.8 ,1
RIO103,01/03/2008 ,48.5,x,x,284,162,x,x,x,26.7,468,x,x,,0.324,1.2 ,0.0064,0.7,30.4,46.1,7.4 ,7.49,26.7 ,1
RIO106,01/03/2008 ,59.5,x,x,352,168,x,x,x,38.2,518,x,x,,0.172,1.64,0.0092,0.8,39.9,56.7,7.3 ,7.19,26.4 ,1
RIO107,01/03/2008 ,38,x,x,418,188,30000,3400,x,39.7,598,0.6,7.7,,0.27,0.91,0.0141,0.8,49,21.3,7.7 ,6.21,27.3 ,1
RIO109,01/03/2008 ,59,x,x,472,200,30000,11000,x,51.8,682,0.4,8.5,,0.095,1.09,0.0117,0.9,88.8,56.3,7.7 ,6.53,27.6 ,1
RIO118,01/03/2008 ,49,x,x,566,212,90000,13000,x,64.5,878,0.6,8.7,,0.106,1.82,0.0189,1.1,148.4,49.5,7.7 ,6.33,26.9 ,1
RIO111,01/15/2008 ,x,x,x,274,x,7000,400,x,35.4,552,0.9,x,,0.488,x,x,0.9,38.6,16,7.2 ,6.44,27.2 ,1
RIO115,01/15/2008 ,x,x,x,220,x,8000,1100,x,50.4,658,1.9,x,,0.414,x,x,0.8,53.3,22.1,7.9 ,6.62,29 ,1
RIO103,01/15/2008 ,x,x,x,376,x,x,x,x,50.7,655,x,x,,0.42,x,x,0.7,60.4,36.9,8 ,6.63,29.1 ,1
RIO107,01/15/2008 ,x,x,x,360,x,24000,8000,x,45.8,653,0.7,x,,0.268,x,x,0.9,44.9,29.4,8 ,6.32,28.1 ,1
RIO109,01/15/2008 ,x,x,x,446,x,13000,1100,x,57.3,745,1.1,x,,0.318,x,x,0.8,76.1,42.2,8 ,6.11,28.6 ,1
RIO118,01/15/2008 ,x,x,x,504,x,50000,24000,x,60.2,825,0.9,x,,0.219,x,x,0.8,127.9,29.2,7.7 ,6.11,28 ,1
RIO111,02/05/2008 ,31.3333,x,x,340,234,2200,400,x,x,652,1,9.5,,0.644,1.05,0.0151,0.8,47.4,11.1,7.7 ,8.81,30 ,1
RIO112,02/05/2008 ,12.75,x,x,340,235,x,x,x,x,649,x,x,,0.53,x,0.0118,0.7,44.8,8.7,7.6 ,7.92,27.9 ,1
RIO113,02/05/2008 ,15.25,x,x,332,236,x,x,x,x,658,x,x,,0.476,x,0.0092,0.6,46.4,6.52,8.1 ,8.25,30.6 ,1
RIO114,02/05/2008 ,8.25,x,x,374,216,x,x,x,x,672,x,x,,0.67,x,0.005,0.6,50.9,5.01,7.8 ,8.4,26.6 ,1
RIO115,02/05/2008 ,7.5,x,x,410,228,2100,1100,x,x,684,0.8,6.3,,0.42,1.37,0.0037,0.7,51.4,6.83,8.1 ,8.38,26 ,1
RIO102,02/05/2008 ,17.6,x,x,412,230,5000,200,x,x,680,0.4,11.7,,0.413,1,0.0035,0.7,52,9.32,8 ,7.66,28.2 ,1
RIO103,02/05/2008 ,10.5,x,x,440,240,x,x,x,x,685,x,x,,0.488,1,0.0041,0.6,54.6,8.63,7.9 ,8.18,27.8 ,1
RIO106,02/05/2008 ,8.6,x,x,486,249,x,x,x,x,782,x,x,,0.552,1.3 ,0.0039,0.5,69.7,6.83,8.1 ,7.96,27 ,1
RIO107,02/05/2008 ,6,x,x,452,238,7000,800,x,x,755,0.6,10.1,,0.34,1.62,0.0095,0.8,66.2,11.1,8.1 ,7.73,27.8 ,1
RIO109,02/05/2008 ,9.1667,x,x,510,238,3000,800,x,x,755,1.3,11.9,,0.389,1.33,0.0095,0.9,97.9,115.8,8.2 ,7.66,28 ,1
RIO118,02/05/2008 ,11,x,x,534,234,3000,400,x,x,846,1,7.1,,0.221,1.22,0.0093,1,108.1,18.2,8.3 ,7.76,27.4 ,1
RIO111,02/14/2008 ,462,x,x,462,x,13000,13000,x,x,723,0.8,x,,0.629,x,x,0.7,52.9,3.7,7.8 ,8.8,28.4 ,1
RIO115,02/14/2008 ,460,x,x,460,x,13000,13000,x,x,725,0.5,x,,0.458,x,x,0.5,54.9,3.83,7.9 ,8.72,27.1 ,1
RIO103,02/14/2008 ,468,x,x,468,x,x,x,x,x,725,x,x,,0.428,x,x,0.6,57.2,8.35,7.9 ,8.8,29.1 ,1
RIO107,02/14/2008 ,464,x,x,464,x,5000,5000,x,x,743,0.7,x,,0.228,x,x,0.9,59.2,8.95,8.2 ,8.19,27.4 ,1
RIO109,02/14/2008 ,482,x,x,482,x,8000,8000,x,x,808,1.2,x,,0.82,x,x,1.1,89.6,8.08,8.4 ,8.51,28.6 ,1
RIO118,02/14/2008 ,520,x,x,520,x,0.9,13000,x,x,831,x,x,,13000,x,x,0.8,9.29,0.23,8.3 ,8.11,27.6 ,1
RIO116,03/03/2008 ,13,54,x,72,54,2200,1100,x,x,127,0.8,8.3,,0.157,1.4 ,0.003,0.6,0.8,2.85,8.2 ,7.43,30.8 ,1
RIO111,03/03/2008 ,10.5882,426,x,494,255,2300,1300,x,x,822,0.9,11.9,,0.6,1.1 ,0.0136,1,56.9,7.89,7.8 ,6.62,29.6 ,1
RIO112,03/03/2008 ,6.5,392,x,450,257,x,x,x,x,835,x,x,,0.529,x,0.0108,0.9,54.2,5.13,8.1 ,6.54,30.5 ,1
RIO113,03/03/2008 ,17,398,x,448,262,x,x,x,x,834,x,x,,0.58,x,0.0095,0.8,57,4.35,7.7 ,6.69,29.4 ,1
RIO114,03/03/2008 ,5.6,424,x,450,246,x,x,x,x,838,x,x,,0.569,x,0.0051,0.7,58.2,5.72,8.1 ,6.78,30.2 ,1
RIO115,03/03/2008 ,10.4,404,x,474,267,400,200,x,x,848,0.9,9.5,,0.46,0.6,0.006,0.8,60.2,5.95,7.9 ,6.81,27.4 ,1
RIO102,03/03/2008 ,12,424,x,492,252,3000,700,x,x,792,0.6,9.8,,0.461,1.2 ,0.0041,0.7,60.8,8.7,8.5 ,6.33,28.3 ,1
RIO103,03/03/2008 ,10,460,x,474,260,x,x,x,x,788,x,x,,0.466,1 ,0.0072,0.7,58.9,7.86,8.5 ,6.23,27.7 ,1
RIO106,03/03/2008 ,8.5,504,x,494,253,x,x,x,x,839,x,x,,0.387,1.6 ,0.0045,0.6,66.8,5.57,8.5 ,6.32,27.3 ,1
RIO109,03/03/2008 ,17.0539,454,x,512,248,13000,0,x,x,829,2,11.7,,0.273,1 ,0.0224,1.3,75.7,8.71,8.5 ,6.3,29.4 ,1
RIO118,03/03/2008 ,14.4959,448,x,520,248,13000,2700,x,x,823,1,9.5,,0.28,0.9,0.0176,1.1,87.3,10.9,8.5 ,6.78,28.5 ,1
RIO107,03/03/2008 ,17.5095,424,x,476,250,7000,900,x,x,774,0.7,10.6,,0.318,1.1 ,0.0199,1.2,64,9.25,8.5 ,6.3,29.4 ,1
RIO111,03/18/2008 ,x,x,x,476,x,90000,2700,x,55,783,2.1,x,,0.899,x,x,0.7,59.5,9.21,7.6 ,7.15,28.9 ,1
RIO115,03/18/2008 ,x,x,x,452,x,5000,2100,x,63,780,2.6,x,,0.616,x,x,0.3,58.9,5.59,7.9 ,7.98,27.1 ,1
RIO103,03/18/2008 ,x,x,x,478,x,x,x,x,56,785,x,x,,0.506,x,x,0.2,60.9,6.23,8 ,7.91,26.4 ,1
RIO107,03/18/2008 ,x,x,x,462,x,17000,17000,x,66,798,2.6,x,,0.33,x,x,0.5,63.7,9.23,6.7 ,7.38,27.8 ,1
RIO109,03/18/2008 ,x,x,x,462,x,17000,3300,x,89,891,3.3,x,,0.47,x,x,0.8,78.2,8.69,7 ,7.04,30.1 ,1
RIO118,03/18/2008 ,x,x,x,548,x,50000,3300,x,76,882,3.4,x,,0.477,x,x,0.9,76.8,9.58,6.9 ,7.91,28.6 ,1
RIO116,04/02/2008 ,2,28,0,130,59,3000,3000,31.2,10,120,1.5,x,,0.065,0.3,x,0.7,x,5.35,7.6 ,7.01,29 ,1
RIO111,04/02/2008 ,10,364,0,512,262,11000,2600,209.6,62,798,2.8,x,,0.754,0.2,x,0.8,78,11.2,7.9 ,8.4,29.7 ,1
